"Outcome (or Indicator)","Group","Percentage","Confidence Interval","Title","Description","Year"
"Ever having attention-deficit/hyperactivity disorder","White only","9.5","8.6 ,10.5","Percentage of ever having attention-deficit/hyperactivity disorder for children aged 3-17 years (95% confidence intervals), United States","Based on the question ""Has a doctor or other health professional ever told you that [child's name] had attention deficit hyperactivity disorder (ADHD) or attention deficit disorder (ADD)?""","2019"
"Ever having attention-deficit/hyperactivity disorder","Black only","10","7.9 ,12.6","Percentage of ever having attention-deficit/hyperactivity disorder for children aged 3-17 years (95% confidence intervals), United States","Based on the question ""Has a doctor or other health professional ever told you that [child's name] had attention deficit hyperactivity disorder (ADHD) or attention deficit disorder (ADD)?""","2019"
"Ever having attention-deficit/hyperactivity disorder","American Indian or Alaska Native only","999",,"Percentage of ever having attention-deficit/hyperactivity disorder for children aged 3-17 years (95% confidence intervals), United States","Based on the question ""Has a doctor or other health professional ever told you that [child's name] had attention deficit hyperactivity disorder (ADHD) or attention deficit disorder (ADD)?""","2019"
"Ever having attention-deficit/hyperactivity disorder","Asian only","1.8","0.6 ,4.3","Percentage of ever having attention-deficit/hyperactivity disorder for children aged 3-17 years (95% confidence intervals), United States","Based on the question ""Has a doctor or other health professional ever told you that [child's name] had attention deficit hyperactivity disorder (ADHD) or attention deficit disorder (ADD)?""","2019"
"Ever having attention-deficit/hyperactivity disorder","Native Hawaiian or Other Pacific Islander only","999",,"Percentage of ever having attention-deficit/hyperactivity disorder for children aged 3-17 years (95% confidence intervals), United States","Based on the question ""Has a doctor or other health professional ever told you that [child's name] had attention deficit hyperactivity disorder (ADHD) or attention deficit disorder (ADD)?""","2019"
"Ever having attention-deficit/hyperactivity disorder","Black and White","8.2","4.5 ,13.6","Percentage of ever having attention-deficit/hyperactivity disorder for children aged 3-17 years (95% confidence intervals), United States","Based on the question ""Has a doctor or other health professional ever told you that [child's name] had attention deficit hyperactivity disorder (ADHD) or attention deficit disorder (ADD)?""","2019"
"Ever having attention-deficit/hyperactivity disorder","American Indian and Alaska Native and White","999",,"Percentage of ever having attention-deficit/hyperactivity disorder for children aged 3-17 years (95% confidence intervals), United States","Based on the question ""Has a doctor or other health professional ever told you that [child's name] had attention deficit hyperactivity disorder (ADHD) or attention deficit disorder (ADD)?""","2019"
"Ever having attention-deficit/hyperactivity disorder","Hispanic","6.4","5.2 ,7.8","Percentage of ever having attention-deficit/hyperactivity disorder for children aged 3-17 years (95% confidence intervals), United States","Based on the question ""Has a doctor or other health professional ever told you that [child's name] had attention deficit hyperactivity disorder (ADHD) or attention deficit disorder (ADD)?""","2019"
"Ever having attention-deficit/hyperactivity disorder","Non-Hispanic","9.6","8.7 ,10.5","Percentage of ever having attention-deficit/hyperactivity disorder for children aged 3-17 years (95% confidence intervals), United States","Based on the question ""Has a doctor or other health professional ever told you that [child's name] had attention deficit hyperactivity disorder (ADHD) or attention deficit disorder (ADD)?""","2019"
"Ever having attention-deficit/hyperactivity disorder","Mexican or Mexican American","5.3","3.9 ,7.0","Percentage of ever having attention-deficit/hyperactivity disorder for children aged 3-17 years (95% confidence intervals), United States","Based on the question ""Has a doctor or other health professional ever told you that [child's name] had attention deficit hyperactivity disorder (ADHD) or attention deficit disorder (ADD)?""","2019"
"Ever having attention-deficit/hyperactivity disorder","White only, non-Hispanic","10.3","9.2 ,11.4","Percentage of ever having attention-deficit/hyperactivity disorder for children aged 3-17 years (95% confidence intervals), United States","Based on the question ""Has a doctor or other health professional ever told you that [child's name] had attention deficit hyperactivity disorder (ADHD) or attention deficit disorder (ADD)?""","2019"
